"","","","","","","","","","","","","","","","","","","","","","","","",""
"Pour chacune de ces affirmations, sélectionnez l'option qui reflète le mieux votre ressenti à propos de cette unité d'enseignement","","","","","","","","","","","","","","","","","J'ai eu des difficultés à comprendre les sujets suivants","","","","","","",""
"Les attentes et les objectifs sont clairement définis","La structure du cours sur GitHub est cohérente, facile d'accès et permet de retrouver rapidement les informations que je cherche","Les contenus (supports, présentations, consignes, énoncés, etc.) sont pertinents et me permettent de travailler de façon autonome","Les présentations orales sont pertinentes et permettent de mieux comprendre la matière","Lorsque j’ai rencontré des difficultés, j’ai pu trouver des réponses à mes questions (grâce aux discussions en classe, aux supports de cours, etc.)","J'apprécie la durée courte des parties théoriques au début de chaque cours","Les exemples et les exercices sont pertinents et adaptés à mon niveau","L'unité d'enseignement est variée, motivante et permet de ne pas m'ennuyer","Le projet libre est pertinent et permet de mettre en pratique les éléments vus en cours","Le temps nécessaire pour réaliser le projet libre était correct","Les jalons du projet libre ont été utiles et permettent de travailler peu mais régulièrement","Le fait que les jalons du projet soient notés permettent de récompenser mon travail","Les critères d'évaluation du projet libre sont clairs, bien construits et justes","Je me sens capable de réaliser une application web avec PHP que je pourrais déployer et gérer sur Internet et que d'autres personnes pourraient accéder et utiliser","J'aurais plaisir à suivre une unité d'enseignement qui reprend la même méthode d'enseignement","J'ai particulièrement apprécié...","J'ai moins apprécié et je propose...","Programmation orientée objet (avancé)","Bases de données et PDO (avancé)","Déploiement","Cookies, préférences, et gestion multilingues (i18n)","Sessions, authentification, et autorisation","Gestion et envoi des e-mails","Je n'ai pas eu de difficultés particulières","Autres remarques et commentaires"
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","","","","","","","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","votre manière d’enseigner ","rien, changez rien","","","","","","","X","vous êtes super "
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Les parties courtes de théorie ","Le projet parce qu’il est quand même compliqué à prendre en main et à écrire le code si on a pas l’habitude ","","X","","","","X","","Vous êtes top!!"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","La partie théorique courte ainsi que les jalons, qui nous ont permis de bien travailler sur notre projet ainsi qu’avoir, à chaque cours, un feedback et un point de situation.","J’ai très apprécié ce cours ainsi que la manière dont il est abordé :)","","","","X","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","La partie théorique courte ainsi que les jalons, qui nous ont permis de bien travailler sur notre projet ainsi qu’avoir, à chaque cours, un feedback et un point de situation.","J’ai très apprécié ce cours ainsi que la manière dont il est abordé :)","","","","X","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Que tout soit disponible sur GH et le projet libre. C'est la meilleure façon d'apprendre  !","ràs","","","","","","","X","Je pense qu'il faudrait dire clairement à l'oral que chaque jalon est noté et que ce n'est pas seulement des jalons informatifs (comme on peut en avoir dans d'autres cours) car cela prête à confusion et on peut perdre quelques points bêtement. 
Sinon tout est trop bien !"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Le mini-projet permet de bien s’entraîner à chaque fois, votre manière d’enseigner est top ! ","Je trouve ça difficile de perdre des points si les jalons ne sont pas maintenus, car cela dépend de nos semaines de révisions. Il y a des semaines où on doit privilégier d’autres choses :)","","","X","X","","","",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Le fait de déployer une application m'a permis de trouver un peu plus de sens et de voir concrètement la force de PHP. Le projet libre est une très bonne idée et amène les étudiants à explorer de manière plus tangible l'univers de la programmation serveur.","","","","","","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Les exercices faisable de manière autonome et très compréhensibles","","","","","","","","X",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","le fait de combiner théorie petit à petit et le projet ","","","","","X","","","",""
